X,Y,Z
0.08474029,5.29529011,-0.35871507
0.08474029,5.29529011,-0.35871507
0.08474029,5.29529011,-0.35871507
0.08474029,5.29529011,-0.35871507
0.08474029,5.29529011,-0.35871507
0.08474029,5.29529011,-0.35871507
0.08474029,5.29529011,-0.35871507
0.08474029,5.29529011,-0.35871507
0.08474029,5.29529011,-0.35871507
0.08474029,5.29529011,-0.35871507
0.09424185,5.30127547,-0.36397194
0.08474029,5.29529011,-0.35871507
0.08352975,5.30109026,-0.36430821
0.095455,5.29547063,-0.35838052
